0.000000	6.320757	n-001
6.377547	8.779776	n-010
8.779776	9.583358	n-015
9.583358	10.991757	n-012
10.991757	11.911759	n-016
11.911759	14.569544	n-018
14.569544	16.029054	n-019
16.026214	20.535362	n-020
20.535362	22.153885	n-012
22.153885	23.951297	n-020
23.951297	30.371437	n-002
30.371437	33.598544	n-003
33.598544	34.666201	n-057
34.666201	35.956760	n-079
35.956760	39.185287	n-058
39.185287	44.803265	n-059
44.813203	51.406553	n-060
51.407973	57.821014	n-061
57.821014	64.082142	n-062
64.082142	65.848319	n-004
65.848319	67.015359	n-063
67.015359	67.552027	n-064
67.552027	69.812280	n-065
69.812280	77.234769	n-066
77.234769	79.202551	n-005
79.196872	80.088480	n-067
80.392308	82.056263	n-068
82.056263	87.343437	n-069
87.343437	89.297022	n-006
89.314059	91.279003	n-070
91.279003	91.645300	n-071
91.645300	92.284190	n-072
92.284190	101.245695	n-073
101.245695	105.357311	n-007
105.357311	111.990414	n-074
111.990414	113.564925	n-008
113.564925	115.988450	n-075
115.988450	120.577103	n-076
120.577103	123.555753	n-009
123.555753	124.935757	n-077
124.935757	126.346995	n-078
126.346995	128.982064	n-001
128.982064	129.867992	n-010
129.879350	130.586389	n-014
130.586389	131.318983	n-012
131.318983	134.655412	n-013
134.655412	135.422080	n-012
135.422080	136.745294	n-017
136.745294	141.032959	n-021
141.032959	144.184819	n-022
144.184819	146.297417	n-017
146.297417	148.438410	n-023
148.438410	153.015706	n-024
153.021385	155.900652	n-001
155.900652	158.308559	n-011
158.308559	161.011776	n-080
161.011776	161.744371	n-081
161.744371	162.414496	n-082
162.414496	162.999436	n-083
162.999436	163.831413	n-084
163.831413	165.895740	n-085
165.895740	167.695991	n-025
167.695991	169.084513	n-086
169.084513	170.223158	n-089
170.223158	170.690258	n-090
170.690258	171.241124	n-091
171.241124	172.415263	n-092
172.426621	174.397243	n-093
174.397243	177.586017	n-142
177.591696	179.502689	n-097
179.729850	180.419851	n-101
180.419851	181.006921	n-102
181.006921	181.942541	n-103
181.942541	184.750110	n-104
184.755789	187.606660	n-096
187.606660	190.928891	n-105
190.928891	195.443718	n-095
195.455076	198.186688	n-106
198.186688	200.151631	n-094
200.153761	202.514106	n-108
202.514106	204.598309	n-119
204.598309	206.852883	n-125
206.852883	209.124494	n-142
209.124494	210.657831	n-119
210.657831	212.230922	n-122
212.230922	213.974383	n-121
213.974383	215.678091	n-135
215.678091	217.449948	n-120
217.449948	220.999340	n-121
220.999340	236.838146	n-128
236.860862	240.858897	n-106
240.858897	243.357669	n-107
243.357669	244.658167	n-110
244.658167	245.379403	n-114
245.379403	246.378912	n-115
246.378912	248.673239	n-109
248.673239	251.739913	n-112
251.739913	286.722720	n-116
286.700004	290.448162	n-111
290.448162	292.821995	n-129
292.821995	294.082739	n-131
294.082739	295.218545	n-131
295.218545	296.598548	n-129
296.604227	297.444723	n-132
297.444723	298.049540	n-133
298.049540	301.090659	n-134
301.090659	304.248198	n-106
304.248198	306.474377	n-117
306.474377	309.228705	n-118
309.228705	312.113650	n-108
312.113650	313.419827	n-119
313.419827	314.581188	n-125
314.581188	317.380948	n-126
317.389467	340.968787	n-127
340.968787	345.196823	n-089
345.196823	345.759047	n-090
345.759047	346.346826	n-091
346.346826	347.016951	n-092
347.016951	349.203376	n-093
349.206216	351.821408	n-119
351.821408	353.380301	n-124
353.380301	354.581415	n-152
354.581415	355.211787	n-119
355.211787	356.827470	n-123
356.827470	365.394283	n-136
365.397122	366.558483	n-140
366.558483	367.805030	n-137
367.807869	369.040218	n-139
369.040218	371.084668	n-138
371.084668	374.134305	n-141
374.134305	376.042459	n-142
376.042459	379.040985	n-204
379.086417	381.267163	n-216
381.267163	383.924948	n-217
383.924948	387.014339	n-214
387.014339	397.228069	n-233
397.228069	402.836108	n-235
402.836108	404.456051	n-264
404.456761	405.377473	n-265
405.377473	406.002166	n-266
406.002166	408.827482	n-267
408.884272	411.593168	n-236
411.593168	414.926757	n-270
414.938115	416.460094	n-279
416.499848	418.044543	n-280
418.044543	419.992449	n-281
419.992449	423.615669	n-269
423.615669	424.467523	n-271
424.467523	425.194438	n-272
425.194438	425.995181	n-273
425.995181	426.804442	n-274
426.804442	429.416795	n-275
429.416795	437.807557	n-142
437.807557	440.232502	n-268
440.232502	441.464851	n-276
441.464851	442.884608	n-277
442.884608	445.440170	n-278
445.440170	446.820173	n-282
446.820173	450.261664	n-287
450.261664	451.715495	n-278
451.715495	453.243153	n-283
453.243153	455.242170	n-286
455.242170	456.769829	n-283
456.769829	461.409594	n-284
461.636755	473.273082	n-285
473.278761	475.516297	n-142
475.774693	478.506305	n-218
478.506305	481.155571	n-219
481.155571	485.653361	n-215
485.659040	489.923989	n-001
489.923989	517.790975	n-029
